A,B,n_AB,P(B|A),P(B),lift,odds_ratio,p_value,q_value_BH,significatiu_FDR
(8),l,11,0.52381,0.816052,0.6419,0.2477,0.99954122,1.0,False
(4),l,109,0.519048,0.816052,0.636,0.241,1.0,1.0,False
<4,l,7,0.5,0.816052,0.6127,0.2253,0.99864389,1.0,False
l,x,66,0.001796,0.00297,0.6046,0.2194,1.0,1.0,False
l,(4),105,0.002857,0.004743,0.6023,0.2169,1.0,1.0,False
l,(9),27,0.000735,0.001263,0.5814,0.2041,1.0,1.0,False
l,<xr>,11,0.000299,0.000532,0.5626,0.1922,0.99998342,1.0,False
(2),l,192,0.440367,0.816052,0.5396,0.1731,1.0,1.0,False
l,3,58,0.001578,0.002926,0.5393,0.177,1.0,1.0,False
l,222,3,8.2e-05,0.000155,0.526,0.1705,0.99671923,1.0,False
l,(11),9,0.000245,0.000465,0.526,0.1704,0.99998635,1.0,False
l,(2),185,0.005033,0.009575,0.5256,0.1662,1.0,1.0,False
l,(7),26,0.000707,0.001441,0.491,0.151,1.0,1.0,False
(7),l,25,0.390625,0.816052,0.4787,0.1439,1.0,1.0,False
p,3,4,0.001387,0.002926,0.474,0.4569,0.97245125,1.0,False
(9),l,20,0.384615,0.816052,0.4713,0.1404,1.0,1.0,False
(11),l,8,0.380952,0.816052,0.4668,0.1385,0.99999842,1.0,False
l,<gl>,11,0.000299,0.000643,0.4656,0.1387,0.99999996,1.0,False
-,l,3,0.375,0.816052,0.4595,0.1352,0.99923076,1.0,False
<la>,l,24,0.369231,0.816052,0.4525,0.1314,1.0,1.0,False
<lp>,l,19,0.333333,0.816052,0.4085,0.1122,1.0,1.0,False
l,<pl>,4,0.000109,0.00031,0.3507,0.0909,0.99999817,1.0,False
l,<4,4,0.000109,0.00031,0.3507,0.0909,0.99999817,1.0,False
l,>,15,0.000408,0.001662,0.2455,0.0565,1.0,1.0,False
<glla>,l,33,0.198795,0.816052,0.2436,0.0551,1.0,1.0,False
>,l,12,0.157895,0.816052,0.1935,0.042,1.0,1.0,False
l,<glla>,27,0.000735,0.003857,0.1905,0.0411,1.0,1.0,False
g,p,11,0.010185,0.063991,0.1592,0.1473,1.0,1.0,False
a,l,148,0.129145,0.816052,0.1583,0.0295,1.0,1.0,False
l,g,148,0.004027,0.025512,0.1578,0.0297,1.0,1.0,False
l,p,348,0.009468,0.063991,0.148,0.0219,1.0,1.0,False
p,a,10,0.003467,0.023517,0.1474,0.1363,1.0,1.0,False
p,l,327,0.113384,0.816052,0.1389,0.0201,1.0,1.0,False
l,r,25,0.00068,0.007979,0.0852,0.0163,1.0,1.0,False
r,l,24,0.066482,0.816052,0.0815,0.0154,1.0,1.0,False
