teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
CM_Angelines,39,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,41,V0,V0,0.63651316,0.6517,1,0
CM_Angelines,43,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,45,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,47,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,49,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,51,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,53,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,55,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,57,V0,V0,0.63651316,0.6517,1,0
CM_Angelines,59,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,61,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,63,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,65,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,67,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,69,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,71,V0,V0,0.63651316,0.6517,1,0
CM_Angelines,73,V0,V0,0.63651316,0.6517,1,0
CM_Angelines,75,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,77,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,79,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,81,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,83,V0,V1,0.31155015,1.6825,1,0
CM_Angelines,85,V1,V0,0.34046053,1.5544,1,0
CM_Angelines,87,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,89,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,91,V1,V1,0.63981763,0.6443,1,0
CM_Angelines,,<EOS>,V1,0.02279635,5.4551,1,0
CM_Eterna,1,V0,<BOS>,0.34615385,1.5305,1,0
CM_Eterna,3,V0,V0,0.63651316,0.6517,1,0
CM_Eterna,5,V0,V0,0.63651316,0.6517,1,0
CM_Eterna,9,V1,V0,0.34046053,1.5544,1,0
CM_Eterna,11,V1,V1,0.63981763,0.6443,1,0
CM_Eterna,13,V1,V1,0.63981763,0.6443,1,0
CM_Eterna,15,V1,V1,0.63981763,0.6443,1,0
CM_Eterna,21,V1,V1,0.63981763,0.6443,1,0
