teixit,volta,classe,categoria_5_1,score_5_1,n_rare,tokens_rare,z_runs,flags_5_1
P_Helga,189,LEXICA,normal,0.5513,1,<l(3p)(la-2v)l3l(gl-2v)>,,
P_Helga,211,LEXICA,normal,0.4398,0,,-10.1694,
P_Jafisa - Grafico B,3,LEXICA,normal,0.561,1,<lxlp>,,
P_Pasión,85,LEXICA,normal,0.1736,0,,-3.5042,
P_Pasión,91,LEXICA,normal,2.4344,1,<lpl(9p)>,-4.2007,
P_Pasión,93,LEXICA,normal,1.7442,1,<l(3p)l(9p)>,,
P_Pasión,133,LEXICA,normal,0.2647,0,,-3.1783,
P_Primavera,23,LEXICA,normal,1.4759,0,,-3.097,
P_Primavera,67,LEXICA,normal,2.413,1,<pglla>,,
P_Primavera,81,LEXICA,normal,2.0388,0,,-4.2919,
P_Primavera,93,LEXICA,normal,2.0098,0,,-3.0505,
P_Primavera,97,LEXICA,normal,0.6354,0,,-4.1129,
P_Primavera,167,LEXICA,normal,1.0428,1,<3p>,,
P_Primavera,175,LEXICA,normal,0.7843,1,<l(11)lx>,,
P_Primavera,179,LEXICA,normal,1.2382,2,<l(3p)l(3p)gapp>|<l(3p)gapp>,,
P_Primavera,181,LEXICA,normal,1.1085,2,<l(5p)l(2p)gap>|<l(5p)lppgap>,,
P_Rosa de los Vientos,143,LEXICA,normal,0.2891,0,,-3.1783,
P_Rosa de los Vientos,151,LEXICA,normal,1.6206,1,<3l>,,
P_Ruth,17,LEXICA,normal,2.0508,1,<pplxlpplsl>,,
P_Ruth,21,LEXICA,normal,2.2801,2,<applxlppglsl>|<applxlppg>,,
P_Ruth,39,LEXICA,normal,1.3437,1,<ppgllaglla>,,
P_Ruth,45,LEXICA,normal,1.7128,0,,-6.2013,
P_Celia,83,GRAMATICAL,MODERADA,0.469,0,,,flag_micro_max
P_Celia,87,GRAMATICAL,MODERADA,0.4428,0,,,flag_micro_max
P_Celia,91,GRAMATICAL,MODERADA,0.4205,0,,,flag_micro_max
P_Celia,95,GRAMATICAL,MODERADA,0.4009,0,,,flag_micro_max
P_Celia,99,GRAMATICAL,MODERADA,0.3838,0,,,flag_micro_max
P_Celia,103,GRAMATICAL,MODERADA,0.3389,0,,,flag_micro_max
P_Conchita Romero,11,GRAMATICAL,MODERADA,2.8652,0,,,flag_trans_invalides
P_Cori,15,GRAMATICAL,MODERADA,0.7427,0,,,flag_trans_invalides
P_Cori,41,GRAMATICAL,MODERADA,2.3604,0,,,flag_sig_intra
P_Gentio,7,GRAMATICAL,MODERADA,1.6865,0,,,flag_trans_invalides
P_Helga,105,GRAMATICAL,MODERADA,1.414,0,,,flag_micro_max
P_Helga,187,GRAMATICAL,MODERADA,1.0125,0,,,flag_micro_max
P_Renacimiento,45,GRAMATICAL,MODERADA,3.8612,0,,,flag_sig_intra
P_Rosa de los Vientos,119,GRAMATICAL,MODERADA,2.8111,0,,,flag_sig_salt
P_Rosa de los Vientos,129,GRAMATICAL,MODERADA,2.8111,0,,,flag_sig_salt
P_Ruth,29,GRAMATICAL,MODERADA,1.6318,0,,,flag_micro_max
P_Ruth,79,GRAMATICAL,MODERADA,1.0027,0,,,flag_micro_max
